"homeInjuries","visitingInjuries","homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
1,2,0,0.6666666666666666,-6.333333333333329,-1.3333333333333286,0,0.6666666666666666,1,0,"VISITING"
0.01,2,0.4,0.8,-4.400000000000006,3.200000000000003,0.4,0.8,0.5,1,"VISITING"
2,2,0.75,0.4,1.5,-4.200000000000003,0.75,0.4,0.5,0.5,"VISITING"
0.01,1,0.4444444444444444,0.6666666666666666,-4.7777777777777715,5.666666666666671,0.5,0.6666666666666666,0.3333333333333333,0.5,"HOME"
1,0.01,0.6,0.8,5.599999999999994,4.200000000000003,0.6,0.8,0.5,0.5,"HOME"
1,1,0.5,0.5,-3.3333333333333286,2.1666666666666714,0.5,0.5,0.25,0.5,"VISITING"
0.01,1,0.4,0,-1.5999999999999943,-11,0.4,0,0,0,"HOME"
0.01,1,0.3333333333333333,0,-3,-7.25,0.3333333333333333,0,0,1,"HOME"
0.01,0.01,0.3333333333333333,0.5,-2.1666666666666714,-6,0.3333333333333333,0.5,0.3333333333333333,1,"HOME"
2,1,0.2,0.6,-3,-1.6000000000000085,0.2,0.6,0.6666666666666666,0.5,"VISITING"
0.01,1,0.4,0.8333333333333334,-6,4.5,0.4,0.8333333333333334,0.6666666666666666,0.5,"VISITING"
1,1,0.6666666666666666,0.5,7.166666666666657,-0.25,0.6666666666666666,0.5,1,0.5,"HOME"
2,1,0.5,0.4,1.25,-5.200000000000003,0.5,0.4,0,0.5,"HOME"
3,2,0.6666666666666666,0.3333333333333333,6.666666666666671,-4.5,0.6666666666666666,0.3333333333333333,0.25,0.75,"HOME"
0.01,0.01,0.3333333333333333,0.3333333333333333,2.666666666666657,-5.5,0.3333333333333333,0.3333333333333333,0,0.5,"HOME"
1,1,0.8,0.8333333333333334,7.200000000000003,9.5,0.8,0.8333333333333334,0.5,1,"HOME"
0.01,1,0.3333333333333333,0.4,-5.5,-2.799999999999997,0.3333333333333333,0.4,0.5,0.3333333333333333,"VISITING"
1,2,0.6666666666666666,0.5,5.833333333333329,-2.8333333333333286,0.6666666666666666,0.5,0.6666666666666666,0.6,"VISITING"
0.01,0.01,0.5714285714285714,0.6666666666666666,4.285714285714278,2.3333333333333286,0.5714285714285714,0.6666666666666666,0.3333333333333333,1,"VISITING"
0.01,1,0.42857142857142855,0.5714285714285714,-7,2.714285714285708,0.42857142857142855,0.5714285714285714,0.4,0.6666666666666666,"HOME"
1,2,0,0.7142857142857143,-11.42857142857143,7.857142857142847,0,0.7142857142857143,0.5,0,"VISITING"
0.01,0.01,0.5,0.7142857142857143,1,5.571428571428569,0.5,0.7142857142857143,0.3333333333333333,0.3333333333333333,"VISITING"
2,0.01,0.16666666666666666,0.42857142857142855,-4.166666666666657,0,0.16666666666666666,0.42857142857142855,0,0.3333333333333333,"VISITING"
1,2,0.6666666666666666,0.6,0.3333333333333428,0.4000000000000057,0.6666666666666666,0.6,1,0.5,"VISITING"
2,2,0.6,0.2857142857142857,2.5999999999999943,-6,0.6,0.2857142857142857,0.2,0.6666666666666666,"HOME"
2,1,0.5,0,-3.9000000000000057,-6.599999999999994,0.5,0,0,0.5714285714285714,"HOME"
0.01,2,0.42857142857142855,0.14285714285714285,-2,-4.571428571428569,0.42857142857142855,0.14285714285714285,0,1,"VISITING"
0.01,1,0.42857142857142855,0.8571428571428571,4.142857142857139,4.285714285714292,0.42857142857142855,0.8571428571428571,0.75,0.6,"VISITING"
0.01,0.01,0.2857142857142857,0.2857142857142857,-6.571428571428569,-5.857142857142861,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.6666666666666666,"VISITING"
1,1,0.3333333333333333,1,-5.666666666666671,17,0.3333333333333333,1,1,0.6666666666666666,"VISITING"
1,1,0.42857142857142855,0.5,-3.714285714285708,-1,0.42857142857142855,0.5,0.6666666666666666,0.3333333333333333,"HOME"
2,0.01,0.5714285714285714,0.5,-1.5714285714285694,0.875,0.5714285714285714,0.5,0.2,0.3333333333333333,"HOME"
0.01,0.01,0.7142857142857143,0.5454545454545454,3.142857142857139,-2.0909090909090935,0.7142857142857143,0.5,0.3333333333333333,1,"VISITING"
0.01,1,0.5,0.5714285714285714,-4.875,4.142857142857139,0.5,0.5714285714285714,1,0.75,"VISITING"
0.01,1,0.5,0,2.75,-8.166666666666671,0.5,0,0,0.75,"HOME"
1,1,0.5714285714285714,0,-1,-10.25,0.5714285714285714,0,0,0.3333333333333333,"VISITING"
0.01,0.01,0.42857142857142855,0.5833333333333334,0.4285714285714164,-1.75,0.42857142857142855,0.625,0.5,0.25,"HOME"
2,0.01,0.6666666666666666,0.375,1.8333333333333428,-2,0.6666666666666666,0.375,0.2,0.3333333333333333,"HOME"
1,1,0.7142857142857143,0.75,8,5.25,0.7142857142857143,0.75,0.5,0.6,"HOME"
2,1,0.75,0.8333333333333334,7.125,9,0.75,0.8333333333333334,0.6666666666666666,0.8,"VISITING"
2,2,0.6666666666666666,0.625,4.333333333333329,-0.75,0.6666666666666666,0.625,0.75,0.75,"HOME"
1,0.01,0.5,0.6666666666666666,1.125,3.8888888888888857,0.5,0.625,0.4,1,"VISITING"
1,1,0.875,1,4,15.600000000000009,0.875,1,1,1,"VISITING"
0.01,1,0.25,0.42857142857142855,-7.875,-1.4285714285714306,0.25,0.42857142857142855,0.5,0.5,"VISITING"
