"homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
0.4444444444444444,0.75,-0.8888888888888857,3.5,0.5,0.75,0.6666666666666666,0.5,"VISITING"
0.625,0.2857142857142857,3.625,-5.428571428571431,0.625,0.2857142857142857,0,1,"VISITING"
0.3333333333333333,0.5,-8.666666666666671,-4.25,0.25,0.5,0.5,1,"VISITING"
0.4444444444444444,0.5,2.444444444444443,1.3333333333333286,0.375,0.5,0,0.6666666666666666,"VISITING"
0.625,0.625,6.625,3.5,0.625,0.625,0.25,0.8,"HOME"
0.42857142857142855,0.6666666666666666,-0.4285714285714306,8.555555555555557,0.42857142857142855,0.625,0.5,0.5,"HOME"
0.2857142857142857,0.2857142857142857,-3.714285714285708,-3.285714285714292,0.2857142857142857,0.2857142857142857,0,0.4,"VISITING"
1,0.2857142857142857,10.375,-5.142857142857153,1,0.2857142857142857,0.25,1,"HOME"
0.4,0.375,-6.5,-4.75,0.375,0.375,0,0.6,"VISITING"
0.1111111111111111,0.8888888888888888,-11.555555555555557,9.333333333333329,0.125,0.875,0.8,0.25,"VISITING"
0.375,0.5555555555555556,-3.5,2.6666666666666714,0.375,0.625,0.4,0.2,"VISITING"
0.6,0.4,7.299999999999997,-2.1000000000000085,0.5,0.5,0.4,0.8,"HOME"
0.6666666666666666,0.375,4,-4.5,0.75,0.375,0.2,1,"HOME"
0.5555555555555556,0.6666666666666666,-3.1111111111111143,6.555555555555557,0.625,0.625,0.3333333333333333,0.5,"VISITING"
0.5714285714285714,1,3.4285714285714306,12.222222222222214,0.5714285714285714,1,1,1,"HOME"
0.25,0.3,-4.25,-8.400000000000006,0.25,0.25,0,0.5,"VISITING"
0.4444444444444444,0.5555555555555556,1.1111111111111143,2.444444444444443,0.5,0.5,0.2,0.8,"VISITING"
0.6,0.5,1.7000000000000028,0.125,0.5,0.5,0.3333333333333333,0.6,"HOME"
0.6666666666666666,0.1,7,-11.299999999999997,0.625,0.125,0,1,"HOME"
0.3333333333333333,0.5,-2,-3.5,0.375,0.375,0.3333333333333333,0.5,"HOME"
0.25,0.625,-7.875,0.75,0.25,0.625,0.4,0.3333333333333333,"VISITING"
